[2026-04-10T20:55:10,502-07:00] [0:0:0:0:0:0:0:1 -> webapi-1  ] GET   200 13ms   /status
[2026-04-10T21:30:00,089-07:00] [0:0:0:0:0:0:0:1 -> webapi-1  ] GET   200 53ms   /status
[2026-04-10T21:30:01,140-07:00] [0:0:0:0:0:0:0:1 -> webapi-2  ] GET   200 1ms    /status
[2026-04-10T21:30:02,181-07:00] [0:0:0:0:0:0:0:1 -> webapi-1  ] GET   200 0ms    /status
[2026-04-10T21:30:03,220-07:00] [0:0:0:0:0:0:0:1 -> webapi-2  ] GET   200 0ms    /status
[2026-04-10T21:30:04,254-07:00] [0:0:0:0:0:0:0:1 -> webapi-1  ] GET   200 1ms    /status
[2026-04-10T21:30:05,291-07:00] [0:0:0:0:0:0:0:1 -> webapi-2  ] GET   200 0ms    /status
[2026-04-10T21:30:06,335-07:00] [0:0:0:0:0:0:0:1 -> webapi-1  ] GET   200 0ms    /status
[2026-04-10T21:30:07,368-07:00] [0:0:0:0:0:0:0:1 -> webapi-2  ] GET   200 1ms    /status
[2026-04-10T21:30:08,409-07:00] [0:0:0:0:0:0:0:1 -> webapi-1  ] GET   200 12ms   /status
[2026-04-10T22:20:29,969-07:00] [     172.19.0.1 -> webapi-1  ] GET   302 12ms   /
[2026-04-10T22:20:29,991-07:00] [     172.19.0.1 -> webapi-2  ] GET   200 17ms   /setup/
[2026-04-10T22:20:30,043-07:00] [     172.19.0.1 -> webapi-2  ] GET   200 6ms    /setup/static/js/main.7997cf149daff31b117c.js
[2026-04-10T22:20:30,101-07:00] [     172.19.0.1 -> webapi-1  ] GET   200 84ms   /setup/static/js/vendor.7997cf149daff31b117c.js
[2026-04-10T22:20:30,335-07:00] [     172.19.0.1 -> webapi-2  ] POST  200 6ms    /api/logout
[2026-04-10T22:20:30,515-07:00] [     172.19.0.1 -> webapi-1  ] GET   200 13ms   /api/stat/sysinfo
[2026-04-10T22:20:30,611-07:00] [     172.19.0.1 -> webapi-1  ] GET   200 4ms    /setup/static/images/c3686a3d067479d40dce0a214f8f9418.png
[2026-04-10T22:20:30,612-07:00] [     172.19.0.1 -> webapi-2  ] GET   200 4ms    /api/stat/sdn
[2026-04-10T22:20:30,642-07:00] [     172.19.0.1 -> webapi-1  ] GET   200 4ms    /api/stat/ccode
[2026-04-10T22:20:30,704-07:00] [     172.19.0.1 -> webapi-2  ] POST  200 6ms    /api/stat/device
[2026-04-10T22:20:30,713-07:00] [     172.19.0.1 -> webapi-1  ] GET   200 2ms    /setup/favicon.png
[2026-04-10T22:20:30,813-07:00] [     172.19.0.1 -> webapi-2  ] GET   200 87ms   /v2/api/site/default/apgroups
[2026-04-10T22:20:30,853-07:00] [     172.19.0.1 -> webapi-1  ] GET   200 27ms   /v2/api/timezones
[2026-04-10T22:20:52,494-07:00] [     172.19.0.1 -> webapi-2  ] GET   200 5ms    /setup/favicon.png
[2026-04-10T22:21:56,295-07:00] [     172.19.0.1 -> webapi-2  ] POST  400 395ms  /api/cmd/cloudaccess
[2026-04-10T22:22:56,800-07:00] [     172.19.0.1 -> webapi-2  ] POST  400 1291ms /api/cmd/cloudaccess
[2026-04-10T22:22:56,838-07:00] [     172.19.0.1 -> webapi-2  ] GET   200 1ms    /setup/static/images/92a119e64d41fc9f4c4930556decbdf0.png
[2026-04-10T22:23:07,150-07:00] [     172.19.0.1 -> webapi-1  ] POST  202 10319ms /api/cmd/cloudaccess
[2026-04-10T22:23:13,493-07:00] [     172.19.0.1 -> webapi-2  ] POST  200 6338ms /api/cmd/cloudaccess
[2026-04-10T22:23:13,501-07:00] [     172.19.0.1 -> webapi-1  ] GET   200 2ms    /api/stat/sdn
[2026-04-10T22:23:13,601-07:00] [     172.19.0.1 -> webapi-2  ] POST  200 97ms   /api/cmd/sitemgr
[2026-04-10T22:23:13,617-07:00] [     172.19.0.1 -> webapi-1  ] POST  200 12ms   /api/set/setting/super_identity
[2026-04-10T22:23:13,627-07:00] [     172.19.0.1 -> webapi-3  ] POST  200 9ms    /api/set/setting/locale
[2026-04-10T22:23:13,652-07:00] [     172.19.0.1 -> webapi-2  ] POST  200 47ms   /api/set/setting/country
[2026-04-10T22:23:13,704-07:00] [     172.19.0.1 -> webapi-1  ] POST  200 45ms   /api/set/setting/super_mgmt
[2026-04-10T22:23:13,764-07:00] [     172.19.0.1 -> webapi-3  ] POST  200 56ms   /api/set/setting/mgmt
[2026-04-10T22:23:13,815-07:00] [     172.19.0.1 -> webapi-2  ] POST  200 46ms   /api/set/setting/super_sdn
[2026-04-10T22:23:16,564-07:00] [     172.19.0.1 -> webapi-1  ] POST  200 2745ms /api/cmd/cloudaccess
[2026-04-10T22:23:16,609-07:00] [     172.19.0.1 -> webapi-3  ] POST  200 40ms   /api/cmd/system
[2026-04-10T22:23:16,835-07:00] [     172.19.0.1 -> webapi-2  ] GET   302 0ms    /setup/configure/credentials
[2026-04-10T22:23:16,843-07:00] [     172.19.0.1 -> webapi-1  ] GET   302 4ms    /manage
[2026-04-10T22:23:16,848-07:00] [     172.19.0.1 -> webapi-3  ] GET   200 2ms    /manage/site/default
[2026-04-10T22:23:16,879-07:00] [     172.19.0.1 -> webapi-2  ] GET   200 4ms    /manage/angular/gf41cf28e3/js/index.js
[2026-04-10T22:23:17,018-07:00] [     172.19.0.1 -> webapi-1  ] GET   200 5ms    /api/self
[2026-04-10T22:23:17,149-07:00] [     172.19.0.1 -> webapi-3  ] GET   200 7ms    /v2/api/features/LEGACY_UI_SUPPORTED/exists
[2026-04-10T22:23:17,232-07:00] [     172.19.0.1 -> webapi-1  ] GET   200 3ms    /manage/angular/gf41cf28e3/images/favicons/favicon-32.png?v=2
[2026-04-10T22:23:17,306-07:00] [     172.19.0.1 -> webapi-2  ] GET   200 84ms   /manage/react/js/swai.e751c284f0e2175714c4.js
[2026-04-10T22:23:17,804-07:00] [     172.19.0.1 -> webapi-3  ] GET   200 30ms   /v2/api/info?preferred_site_name=default
[2026-04-10T22:23:17,822-07:00] [     172.19.0.1 -> webapi-2  ] GET   200 3ms    /manage/react/js/authenticated-app-config.b874e283dc0554ff58e5.js
[2026-04-10T22:23:17,822-07:00] [     172.19.0.1 -> webapi-3  ] GET   200 3ms    /manage/react/js/toast-provider.612e721fb0124ef08c78.js
[2026-04-10T22:23:17,826-07:00] [     172.19.0.1 -> webapi-2  ] GET   200 2ms    /manage/react/js/network-server-styles.e743f58c1d1b2973d0ed.js
[2026-04-10T22:23:17,828-07:00] [     172.19.0.1 -> webapi-1  ] GET   200 9ms    /v2/api/site/default/models
